Id,Genre,Artist,Song,Listeners,URL
2019-04-16 22:49:17.314289_28,jazz,Christina Aguilera,Candyman,466361,https://www.last.fm/music/Christina+Aguilera/_/Candyman
2019-04-16 22:49:17.625552_29,jazz,Adele,He Won't Go,466065,https://www.last.fm/music/Adele/_/He+Won%27t+Go
2019-04-16 22:49:17.854588_30,jazz,The Cinematic Orchestra,To Build a Home,457973,https://www.last.fm/music/The+Cinematic+Orchestra/_/To+Build+a+Home
2019-04-16 22:49:18.111659_31,jazz,Etta James,At Last,451205,https://www.last.fm/music/Etta+James/_/At+Last
2019-04-16 22:49:18.416533_32,jazz,Daft Punk,Giorgio by Moroder,449573,https://www.last.fm/music/Daft+Punk/_/Giorgio+by+Moroder
2019-04-16 22:49:18.635980_33,jazz,Van Morrison,Moondance,443594,https://www.last.fm/music/Van+Morrison/_/Moondance
2019-04-16 22:49:18.859710_34,jazz,Björk,It's Oh So Quiet,443334,https://www.last.fm/music/Bj%C3%B6rk/_/It%27s+Oh+So+Quiet
2019-04-16 22:49:19.180090_35,jazz,Ray Charles,Georgia On My Mind,428316,https://www.last.fm/music/Ray+Charles/_/Georgia+On+My+Mind
2019-04-16 22:49:19.413541_36,jazz,Nina Simone,My Baby Just Cares for Me,424670,https://www.last.fm/music/Nina+Simone/_/My+Baby+Just+Cares+for+Me
2019-04-16 22:49:19.636216_37,jazz,Adele,Best for Last,423799,https://www.last.fm/music/Adele/_/Best+for+Last
2019-04-16 22:49:19.851574_38,jazz,Frank Sinatra,Fly Me to the Moon,420957,https://www.last.fm/music/Frank+Sinatra/_/Fly+Me+to+the+Moon
2019-04-16 22:49:20.100054_39,jazz,Amy Winehouse,Me & Mr Jones,416320,https://www.last.fm/music/Amy+Winehouse/_/Me+&+Mr+Jones
2019-04-16 22:49:20.330288_40,jazz,Miles Davis,Freddie Freeloader,411620,https://www.last.fm/music/Miles+Davis/_/Freddie+Freeloader
2019-04-16 22:49:20.548477_41,jazz,Michael Bublé,Feeling Good,794026,https://www.last.fm/music/Michael+Bubl%C3%A9/_/Feeling+Good
2019-04-16 22:49:20.785263_42,jazz,Norah Jones,Seven Years,257394,https://www.last.fm/music/Norah+Jones/_/Seven+Years
2019-04-16 22:49:21.020834_43,jazz,Michael Bublé,Home,826874,https://www.last.fm/music/Michael+Bubl%C3%A9/_/Home
2019-04-16 22:49:21.256370_44,jazz,Corinne Bailey Rae,Like a Star,401098,https://www.last.fm/music/Corinne+Bailey+Rae/_/Like+a+Star
